open_time,open,high,low,close,volume,rsi,cci,macd,macd_signal,stoch_rsi,momentum,rsi_14,rsi_28,macd_line,macd_histogram,macd_crossover
1747592700000,1.2971,1.3015,1.2891,1.3013,595877.8,,,,,,,,,,,0
1747593000000,1.3012,1.3015,1.2881,1.2922,637402.0,,,,,,,,,,,0
1747593300000,1.2921,1.296,1.2874,1.293,429020.7,,,,,,,,,,,0
1747593600000,1.293,1.2965,1.2882,1.2884,376013.8,,,,,,,,,,,0
1747593900000,1.2883,1.2911,1.2756,1.2794,541293.5,,,,,,,,,,,0
1747594200000,1.2793,1.2829,1.2743,1.2808,707232.5,,,,,,,,,,,0
1747594500000,1.2806,1.2841,1.2759,1.2823,360882.3,,,,,,,,,,,0
1747594800000,1.282,1.2916,1.2804,1.2835,461154.8,,,,,,,,,,,0
1747595100000,1.2834,1.289,1.2776,1.2885,370186.7,,,,,,,,,,,0
1747595400000,1.2886,1.2891,1.2846,1.2863,309959.6,,,,,,,,,,,0
1747595700000,1.2861,1.2872,1.2793,1.2815,353021.8,,,,,,,,,,,0
1747596000000,1.2816,1.2933,1.277,1.293,399593.3,,,,,,,,,,,0
1747596300000,1.293,1.2957,1.29,1.2915,425491.7,,,,,,,,,,,0
1747596600000,1.2913,1.2913,1.2636,1.2686,1152953.0,,,,,,,28.60745371992762,,,,0
1747596900000,1.2685,1.2757,1.2672,1.2692,479715.8,,,,,,,29.414966355447177,,,,0
1747597200000,1.2691,1.271,1.2531,1.2647,1627839.3,,,,,,,26.952649877538704,,,,0
1747597500000,1.2644,1.2705,1.2608,1.2636,427204.6,,,,,,,26.37151695178177,,,,0
1747597800000,1.2633,1.2666,1.2488,1.2528,1078843.6,,,,,,,21.475590542147216,,,,0
1747598100000,1.2529,1.2585,1.2491,1.2555,505054.7,,,,,,,25.213654868478827,,,,0
1747598400000,1.2555,1.2589,1.2315,1.2467,2807902.6,,,,,,,21.603899069995435,,,,0
1747598700000,1.2467,1.2554,1.2341,1.2531,1290559.2,,,,,,,29.508185897366218,,,,0
1747599000000,1.2532,1.254,1.2423,1.2452,635883.7,,,,,,,26.02065365916326,,,,0
1747599300000,1.245,1.2516,1.2424,1.249,549480.6,,,,,,,30.288616324702275,,,,0
1747599600000,1.2491,1.2517,1.2424,1.243,626617.5,,,,,,,27.582785832820463,,,,0
1747599900000,1.243,1.2518,1.2406,1.2471,471396.5,,,,,,,32.0499143858102,,,,0
1747600200000,1.2473,1.2484,1.2374,1.2434,666136.3,,,,,,,30.237194571159606,,-0.012754516931679394,,0
1747600500000,1.2438,1.2572,1.2424,1.254,547078.9,,,,,,,40.60206707783213,,-0.011806806753454913,,0
1747600800000,1.2539,1.2609,1.2486,1.2589,511403.8,,,,,,,44.692760286585795,40.07357215146473,-0.010538865083866478,,0
1747601100000,1.259,1.2689,1.2579,1.2638,708391.4,,,,,,,48.51150363186596,42.94850836908447,-0.009034479273404283,,0
